ID,Study ID,Reference,Grouping,Victim,Perpetrator,Route Victim,Route Perpetrator,Compartment,AUCR Avg,AUCR AvgType,AUCR Var,AUCR VarType,CmaxR Avg,CmaxR AvgType,CmaxR Var,CmaxR VarType,t_placebo_0,t_placebo_end,t_treatment_0,t_treatment_end,t Unit,Comment,Dose,Dose free API,Dose Unit,Route,Times of Administration,Times Unit,Comment Regimen,Administered form,Formulation type,Infusion duration [min],Water volume ingested for drug intake [mL],Comment on administration/formulation,Fasted/Fed state,Duration of fasting before drug administration [h],Duration of fasting after drug administration [h],Comment on food intake,Notghi
393,Reitman 2011,https://www.ncbi.nlm.nih.gov/pubmed/21191377,Week 1 after Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Plasma,0.383,arith. mean,,,0.403,arith. mean,,,1320,inf,816,984,h,Week 4 as Control,600,,mg,PO,"(S-0,T-24,R-28)",h,,,Rifadin (2x 300mg),,,Rifadin 2x 300 mg (Merrel),Fasted,,,,0
394,Reitman 2011,https://www.ncbi.nlm.nih.gov/pubmed/21191377,Week 2 after Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Plasma,0.815,arith. mean,,,0.731,arith. mean,,,1320,inf,984,1320,h,Week 4 as Control,600,,mg,PO,"(S-0,T-24,R-28)",h,,,Rifadin (2x 300mg),,,Rifadin 2x 300 mg (Merrel),Fasted,,,,0
396,Reitman 2011,https://www.ncbi.nlm.nih.gov/pubmed/21191377,Week 0 after Perpetrator (Rifampicin),Digoxin,Rifampicin,PO,PO,Plasma,1.462,arith. mean,,,1.49,arith. mean,,,1321,inf,649,817,h,Week 4 as Control,600,,mg,PO,"(S-0,T-24,R-28)",h,,,Rifadin (2x 300mg),,,Rifadin 2x 300 mg (Merrel),Fasted,,,,0
397,Reitman 2011,https://www.ncbi.nlm.nih.gov/pubmed/21191377,Week 1 after Perpetrator (Rifampicin),Digoxin,Rifampicin,PO,PO,Plasma,0.683,arith. mean,,,69.3,arith. mean,,,1321,inf,817,985,h,Week 4 as Control,600,,mg,PO,"(S-0,T-24,R-28)",h,,,Rifadin (2x 300mg),,,Rifadin 2x 300 mg (Merrel),Fasted,,,,0
398,Reitman 2011,https://www.ncbi.nlm.nih.gov/pubmed/21191377,Week 2 after Perpetrator (Rifampicin),Digoxin,Rifampicin,PO,PO,Plasma,0.977,arith. mean,,,87.6,arith. mean,,,1321,inf,985,1321,h,Week 4 as Control,600,,mg,PO,"(S-0,T-24,R-28)",h,,,Rifadin (2x 300mg),,,Rifadin 2x 300 mg (Merrel),Fasted,,,,0
354,Markert 2013,https://www.ncbi.nlm.nih.gov/pubmed/23748747,with Perpetrator (Clarithromycin),Midazolam,Clarithromycin,0,0,Plasma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
469,Yeates 1996,http://www.ncbi.nlm.nih.gov/pubmed/8880291,with Perpetrator (Clarithromycin),Midazolam,Clarithromycin,PO,PO,Plasma,3.571572095,Approx. Avg,,,2.439979191,Approx. CmaxR,,,0,inf,97.5,inf,h,,250,,mg,PO,"(S-0,T-12-R-10)",h,MD BID,,Klacid tabelts,,,Kacid tablets from Abbot,Fasted,,2,,0
471,Zimmermann 1996,https://www.ncbi.nlm.nih.gov/pubmed/8720318,with Perpetrator (Erythromycin),Midazolam,Erythromycin,PO,PO,Plasma,3.813719284,Approx. Avg,,,2.711438346,Approx. CmaxR,,,0,inf,97.5,inf,h,,500,,mg,PO,"(S-0,T-8-R-15)",h,MD TID,,Zithromax,,100,Zitrhromax Pfizer,Fasted,10,3.5,,0
54,Backman 1996,https://www.ncbi.nlm.nih.gov/pubmed/8549036,with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Plasma,0.041,Arith.mean,,,0.061818182,Approx. CmaxR,,,0,inf,113,inf,h,,600,,mg,PO,0-24-48-72-96,h,,,"300 mg capsules, Rimapen Orion",,,,,,,,1
56,Backman 1998,https://www.ncbi.nlm.nih.gov/pubmed/9591931,Phase IV (during Perpetrator (Rifampicin)),Midazolam,Rifampicin,PO,PO,Plasma,0.023,arith. mean,0.006,Arith. SEM,0.054,Arith. Mean,0.012,Arith. SEM,0,inf,113,185,h,,600,,mg,PO,0-24-48-72-96,h,,,"300 mg capsules, Rimapen Orion",,,,Fasted,,,,1
57,Backman 1998,https://www.ncbi.nlm.nih.gov/pubmed/9591931,Phase V (4 days after Perpetrator (Rifampicin)),Midazolam,Rifampicin,PO,PO,Plasma,0.132,arith. mean,0.028,Arith. SEM,0.202,Arith. Mean,0.042,Arith. SEM,0,inf,185,inf,h,,600,,mg,PO,0-24-48-72-96,h,,,"300 mg capsules, Rimapen Orion",,,,Fasted,,,,1
58,Backman 1998,https://www.ncbi.nlm.nih.gov/pubmed/9591931,Phase II (during Perpetrator (Itraconazole)),Midazolam,Itraconazole,PO,PO,Plasma,7.97,arith. mean,1.14,Arith. SEM,3.12,Arith. Mean,0.37,Arith. SEM,0,inf,74,170,h,,200,,mg,PO,0-24-48-72,h,,,Sporanox 100-mg capsule,,,,Fasted,,,,1
59,Backman 1998,https://www.ncbi.nlm.nih.gov/pubmed/9591931,Phase III (4 days after Perpetrator (Itraconazole)),Midazolam,Itraconazole,PO,PO,Plasma,2.63,arith. mean,0.4,Arith. SEM,1.92,Arith. Mean,0.31,Arith. SEM,0,inf,170,inf,h,,200,,mg,PO,0-24-48-72,h,,,Sporanox 100-mg capsule,,,,Fasted,,,,1
129,Eap 2004,https://www.ncbi.nlm.nih.gov/pubmed/15114429,0.075 mg with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Plasma,0.441176471,Approx. Avg,,,0.225806452,Approx. Avg,,,0,inf,90,inf,h,,450,,mg,PO,"(S-0,T-24,R-5)",h,QD,,,,,,,,,,1
130,Eap 2004,https://www.ncbi.nlm.nih.gov/pubmed/15114429,0.075 mg with Perpetrator (Ketoconazole),Midazolam,Ketoconazole,PO,PO,Plasma,6.470588235,Approx. Avg,,,3.741935484,Approx. Avg,,,0,inf,48,inf,h,,200,,mg,PO,0-12-24-36,h,BID,,,,,,,,,,1
132,Eap 2004,https://www.ncbi.nlm.nih.gov/pubmed/15114429,7.5 mg with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Plasma,0.052238806,Approx. Avg,,,0.111538462,Approx. Avg,,,0,inf,114,inf,h,,450,,mg,PO,"(S-0,T-24,R-5)",h,QD,,,,,,,,,,1
177,Gorski 2003,https://www.ncbi.nlm.nih.gov/pubmed/12966371,po with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Whole Blood,0.045348837,Approx. Avg,,,0.067039106,arith. Mean,,,0,inf,132,inf,h,"from CL (L/hr/kg), Cmax dose-corrrected",600,,mg,PO,0-(S24-T24-R6),h,MD,,"pill, INN, rifampicin",,,,,,,,1
179,Gorski 2003,https://www.ncbi.nlm.nih.gov/pubmed/12966371,iv with Perpetrator (Rifampicin),Midazolam,Rifampicin,IV,PO,Whole Blood,0.458333333,Approx. Avg,,,,,,,0,inf,132,inf,h,from CL (L/hr/kg),600,,mg,PO,0-(S24-T24-R6),h,MD,,"pill, INN, rifampicin",,,,,,,,1
215,Gurley 2006,https://www.ncbi.nlm.nih.gov/pubmed/16432272,with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Plasma,0.057160804,Approx. Avg,,,0.120915033,arith. Mean,,,0,inf,144,inf,h,,300,,mg,PO,"(S-0,T-12,R-14)",h,MD,Rifampin,"300mg, Rifadin®, Aventis Pharmaceuticals",,,twice daily,,,,,1
217,Gurley 2006,https://www.ncbi.nlm.nih.gov/pubmed/16432272,with Perpetrator (Clarithomycin),Midazolam,Clarithromycin,PO,PO,Plasma,8.39285714,Approx. Avg,,,3.795597484,arith. Mean,,,0,inf,144,inf,h,,500,,mg,PO,"(S-0,T-12,R-14)",h,MD,clarithromycin,"500 mg, Biaxin®, Abbott Laboratories",,,twice daily,,,,,1
221,Gurley 2008a,https://www.ncbi.nlm.nih.gov/pubmed/17495878,with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Plasma,0.06031746,Approx. Avg,,,0.107623318,arith. Mean,,,0,inf,146,inf,h,,300,,mg,PO,"(S-0,T-12,R-14)",h,MD,Rifampin,"300mg, Rifadin®, Aventis Pharmaceuticals",,,twice daily,,,,,1
223,Gurley 2008a,https://www.ncbi.nlm.nih.gov/pubmed/17495878,with Perpetrator (Clarithomycin),Midazolam,Clarithromycin,PO,PO,Plasma,5.4833984,Approx. Avg,,,2.174329502,arith. Mean,,,0,inf,146,inf,h,,500,,mg,PO,"(S-0,T-12,R-14)",h,MD,clarithromycin,"500 mg, Biaxin®, Abbott Laboratories",,,twice daily,,,,,1
227,Gurley 2008b,https://www.ncbi.nlm.nih.gov/pubmed/18214850,with Perpetrator (Rifampicin),Digoxin,Rifampicin,PO,PO,Serum,0.69565217,Approx. Avg,,,0.615384615,arith. Mean,,,0,inf,144,inf,h,,300,,mg,PO,"(S-0,T-12,R-14)",h,MD,Rifampin,"Rifadin®, Aventis Pharmaceuticals",,,twice daily,,,,,1
229,Gurley 2008b,https://www.ncbi.nlm.nih.gov/pubmed/18214850,with Perpetrator (Clarithomycin),Digoxin,Clarithromycin,PO,PO,Serum,1.46575342,Approx. Avg,,,1.75,arith. Mean,,,0,inf,144,inf,h,,500,,mg,PO,"(S-0,T-12,R-14)",h,MD,clarithromycin,"Biaxin®, Abbott Laboratories",,,twice daily,,,,,1
294,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,iv with Perpetrator (Rifampicin @ 5 mg),Midazolam,Rifampicin,IV,PO,Plasma,0.84,geo. Mean,0.13,+/- 90%CI,1.03225806,arith. Mean,,,0,inf,108,inf,h,,5,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
295,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,iv with Perpetrator (Rifampicin @ 10 mg),Midazolam,Rifampicin,IV,PO,Plasma,0.77,geo. Mean,0.12,+/- 90%CI,1.064516129,arith. Mean,,,0,inf,108,inf,h,,10,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
296,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,iv with Perpetrator (Rifampicin @ 25 mg),Midazolam,Rifampicin,IV,PO,Plasma,0.63,geo. Mean,0.11,+/- 90%CI,0.838709677,arith. Mean,,,0,inf,108,inf,h,,25,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
297,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,iv with Perpetrator (Rifampicin @ 75 mg),Midazolam,Rifampicin,IV,PO,Plasma,0.6,geo. Mean,0.12,+/- 90%CI,1.322580645,arith. Mean,,,0,inf,108,inf,h,,75,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
299,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,iv with Perpetrator (Rifampicin @ 5 mg),Alfentanil,Rifampicin,IV,PO,Plasma,0.83,geo. Mean,0.16,+/- 90%CI,1.039215686,arith. Mean,,,0,inf,109,inf,h,,5,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
300,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,iv with Perpetrator (Rifampicin @ 10 mg),Alfentanil,Rifampicin,IV,PO,Plasma,0.75,geo. Mean,0.15,+/- 90%CI,1.049019608,arith. Mean,,,0,inf,109,inf,h,,10,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
301,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,iv with Perpetrator (Rifampicin @ 25 mg),Alfentanil,Rifampicin,IV,PO,Plasma,0.59,geo. Mean,0.12,+/- 90%CI,1,arith. Mean,,,0,inf,109,inf,h,,25,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
302,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,iv with Perpetrator (Rifampicin @ 75 mg),Alfentanil,Rifampicin,IV,PO,Plasma,0.51,geo. Mean,0.12,+/- 90%CI,1.029411765,arith. Mean,,,0,inf,109,inf,h,,75,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
304,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,po with Perpetrator (Rifampicin @ 5 mg),Midazolam,Rifampicin,PO,PO,Plasma,0.8,geo. Mean,0.19,+/- 90%CI,0.8,arith. Mean,,,0,inf,132,inf,h,,5,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
305,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,po with Perpetrator (Rifampicin @ 10 mg),Midazolam,Rifampicin,PO,PO,Plasma,0.68,geo. Mean,0.17,+/- 90%CI,0.93333333,arith. Mean,,,0,inf,132,inf,h,,10,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
306,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,po with Perpetrator (Rifampicin @ 25 mg),Midazolam,Rifampicin,PO,PO,Plasma,0.4,geo. Mean,0.1,+/- 90%CI,0.506666667,arith. Mean,,,0,inf,132,inf,h,,25,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
307,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,po with Perpetrator (Rifampicin @ 75 mg),Midazolam,Rifampicin,PO,PO,Plasma,0.25,geo. Mean,0.09,+/- 90%CI,0.34,arith. Mean,,,0,inf,132,inf,h,,75,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
309,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,po with Perpetrator (Rifampicin @ 5 mg),Alfentanil,Rifampicin,PO,PO,Plasma,0.74,geo. Mean,0.16,+/- 90%CI,0.862745098,arith. Mean,,,0,inf,133,inf,h,,5,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
310,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,po with Perpetrator (Rifampicin @ 10 mg),Alfentanil,Rifampicin,PO,PO,Plasma,0.61,geo. Mean,0.23,+/- 90%CI,0.862745098,arith. Mean,,,0,inf,133,inf,h,,10,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
311,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,po with Perpetrator (Rifampicin @ 25 mg),Alfentanil,Rifampicin,PO,PO,Plasma,0.3,geo. Mean,0.1,+/- 90%CI,0.490196078,arith. Mean,,,0,inf,133,inf,h,,25,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
312,Kharasch 2011,https://www.ncbi.nlm.nih.gov/pubmed/21562488,po with Perpetrator (Rifampicin @ 75 mg),Alfentanil,Rifampicin,PO,PO,Plasma,0.13,geo. Mean,0.06,+/- 90%CI,0.254901961,arith. Mean,,,0,inf,133,inf,h,,75,,mg,PO,0-24-48-72-96-120,h,MD,rifampin,capsules,,,at bedtime,,,,,1
342,Link 2008,https://www.ncbi.nlm.nih.gov/pubmed/18537963,iv with Perpetrator (Rifampicin),Midazolam,Rifampicin,IV,PO,Plasma,0.655007949,Approx. Median,,,1.105960265,Approx. Median,,,0,inf,144,inf,h,,600,,mg,PO,0-24-48-72-96-120,h,MD,rifampicin,"Rimactan®, 600 mg coated tablet, Medika AG,",,,in the morning,,,,,1
344,Link 2008,https://www.ncbi.nlm.nih.gov/pubmed/18537963,po with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Plasma,0.015549077,Approx. Median,,,0.034865293,Approx. Median,,,0,inf,144,inf,h,,600,,mg,PO,0-24-48-72-96-120,h,MD,rifampicin,"Rimactan®, 600 mg coated tablet, Medika AG,",,,in the morning,,,,,1
391,Phimmasone 2001,https://www.ncbi.nlm.nih.gov/pubmed/11753266,with Perpetrator (Rifampicin),Alfentanil,Rifampicin,IV,PO,Plasma,0.55,arith. mean,,,,,,,0,inf,107,inf,h,,600,,mg,PO,0-24-48-72-96,h,MD,rifampin,,,,in the evening,,,,,1
389,Phimmasone 2001,https://www.ncbi.nlm.nih.gov/pubmed/11753266,with Perpetrator (Rifampicin),Midazolam,Rifampicin,IV,PO,Plasma,0.51,arith. mean,,,,,,,0,inf,106,inf,h,,600,,mg,PO,0-24-48-72-96,h,MD,rifampin,,,,in the evening,,,,,1
422,Szalat 2007,https://www.ncbi.nlm.nih.gov/pubmed/17553741,with Perpetrator (Rifampicin),Midazolam,Rifampicin,IV,PO,Plasma,0.579467114,Approx. Avg,,,,,,,0,inf,132,inf,h,,600,,mg,PO,0-24-48-72-96-120-144,h,MD,rifampicin,rifampicin (Sandoz GmbH),,,,,,,,1
191,Greiner 1999,https://www.ncbi.nlm.nih.gov/pubmed/10411543,po with Perpetrator (Rifampicin),Digoxin,Rifampicin,PO,PO,Plasma,0.697080292,Approx. Avg,,,0.481481481,Approx. Avg,,,0,inf,240,inf,h,,600,,mg,PO,0-(S24-T24-R15),h,MD,rifampin,RIFA; Grünenthal GmbH,,,,,,,,1
193,Greiner 1999,https://www.ncbi.nlm.nih.gov/pubmed/10411543,iv with Perpetrator (Rifampicin),Digoxin,Rifampicin,IV,PO,Plasma,0.853379152,Approx. Avg,,,0.834008097,Approx. Avg,,,0,inf,240,inf,h,,600,,mg,PO,0-(S24-T24-R15),h,MD,rifampin,RIFA; Grünenthal GmbH,,,,,,,,1
337,Larsen 2007,https://www.ncbi.nlm.nih.gov/pubmed/17365992,with Perpetrator (Rifampicin),Digoxin,Rifampicin,PO,0,Serum,0.817346939,Approx. Avg,,,,,,,0,inf,144,inf,h,,600,,mg,,0-24-48-72-96-120,h,MD,,,,,,,,,,1
338,Larsen 2007,https://www.ncbi.nlm.nih.gov/pubmed/17365992,with Perpetrator (Ketoconazole),Digoxin,Ketoconazole,PO,0,Serum,1.091836735,Approx. Avg,,,,,,,0,inf,96,inf,h,,200,,mg,,0-24-48-72,h,MD,,,,,,,,,,1
314,Kirby 2012,https://www.ncbi.nlm.nih.gov/pubmed/22190694,Study 1 - Staggered Administration with RIF,Digoxin,Rifampicin,PO,PO,Plasma,0.81,geo. Mean,,,0.78,geo. Mean,,,0,inf,324,inf,h,,600,,mg,PO,(S0-T24-R14),h,QD,rifampin,300-mg capsules; Novartis,,,,,,,,1
316,Kirby 2012,https://www.ncbi.nlm.nih.gov/pubmed/22190694,Study 2 - Simultaneous Administration with RIF,Digoxin,Rifampicin,PO,PO,Plasma,1.25,geo. Mean,,,1.55,geo. Mean,,,0,inf,360,inf,h,,600,,mg,PO,(S0-T24-R14),h,QD,rifampin,300-mg capsules; Novartis,,,,,,,,1
271,Jalava 1997,https://www.ncbi.nlm.nih.gov/pubmed/9421099,po with Perpetrator (Itraconazole),Digoxin,Itraconazole,PO,PO,Serum,168,arith. Mean,,,134,arith. Mean,,,0,inf,49,inf,h,,200,,mg,,0-24-48-72-96,,,,"Sporanox 100-mg caps, Janssen Pharmaceuticals, Beerse, Belgium",,120,,,,,,
173,Gorski 1998,https://www.ncbi.nlm.nih.gov/pubmed/9728893,po with Perpetrator (Clarithromycin),Midazolam,Clarithromycin,PO,PO,Whole Blood,7.142857143,Approx. Avg,,,,,,,0,inf,146,inf,h,from CL (L/hr/kg),500,,mg,PO,0-(S12-T-12-R13),h,MD,,pill,,,,,,,,1
175,Gorski 1998,https://www.ncbi.nlm.nih.gov/pubmed/9728893,iv with Perpetrator (Clarithromycin),Midazolam,Clarithromycin,IV,PO,Whole Blood,2.666666667,Approx. Avg,,,,,,,0,inf,146,inf,h,from CL (L/hr/kg),500,,mg,PO,0-(S12-T-12-R13),h,MD,,pill,,,,,,,,1
276,Kharasch 1997,https://www.ncbi.nlm.nih.gov/pubmed/9232132,with Perpetrator (Rifampicin),Midazolam,Rifampicin,IV,PO,Plasma,0.379310345,Approx. Avg,,,,,,,0,inf,120,inf,h,AUCR estimated from CL ratio,600,,mg,PO,0-24-48-72-96,h,MD,,,,,,,,,,1
278,Kharasch 1997,https://www.ncbi.nlm.nih.gov/pubmed/9232132,with Perpetrator (Rifampicin),Alfentanil,Rifampicin,IV,PO,Plasma,0.363013699,Approx. Avg,,,,,,,0,inf,120.5,inf,h,AUCR estimated from CL ratio,600,,mg,PO,0-24-48-72-96,h,MD,,,,,,,,,,1
377,Olkkola 1996,https://www.ncbi.nlm.nih.gov/pubmed/8623953,day 1 (po) with Perpetrator (Itraconazole),Midazolam,Itraconazole,PO,PO,Plasma,3.4,arith. mean,,,1.8,arith. Mean,,,0,inf,2,inf,h,,200,,mg,PO,0,h,SD,,,,,,,,,,1
378,Olkkola 1996,https://www.ncbi.nlm.nih.gov/pubmed/8623953,day 4 (iv) with Perpetrator (Itraconazole),Midazolam,Itraconazole,IV,PO,Plasma,3.225806452,Approx. Avg,,,,,,,0,inf,74,inf,h,,200,,mg,PO,0-24-48-72,h,MD,,,,,,,,,,1
379,Olkkola 1996,https://www.ncbi.nlm.nih.gov/pubmed/8623953,day 6 (po) with Perpetrator (Itraconazole),Midazolam,Itraconazole,PO,PO,Plasma,6.6,arith. mean,,,2.5,arith. Mean,,,0,inf,122,inf,h,,200,,mg,PO,0-24-48-72-96-120,h,MD,,,,,,,,,,1
